縣市,鄉鎮市區,號次,總統/副總統,得票數,得票率%
花蓮縣,萬榮鄉,3,蔡英文/賴清德,706,22.0006
金門縣,烏坵鄉,1,宋楚瑜/余湘,2,1.7699
金門縣,烏坵鄉,2,韓國瑜/張善政,96,84.9558
金門縣,烏坵鄉,3,蔡英文/賴清德,15,13.2743
連江縣,莒光鄉,1,宋楚瑜/余湘,14,2.2152
連江縣,莒光鄉,2,韓國瑜/張善政,513,81.1709
連江縣,莒光鄉,3,蔡英文/賴清德,105,16.6139
金門縣,金湖鎮,1,宋楚瑜/余湘,415,3.8390
金門縣,金湖鎮,2,韓國瑜/張善政,8121,75.1249
金門縣,金湖鎮,3,蔡英文/賴清德,2274,21.0361
金門縣,金寧鄉,1,宋楚瑜/余湘,437,3.9253
金門縣,金寧鄉,2,韓國瑜/張善政,7535,67.6817
金門縣,金寧鄉,3,蔡英文/賴清德,3161,28.3931
桃園市,龍潭區,1,宋楚瑜/余湘,3468,4.7298
桃園市,龍潭區,2,韓國瑜/張善政,34250,46.7111
桃園市,龍潭區,3,蔡英文/賴清德,35605,48.5591
連江縣,東引鄉,1,宋楚瑜/余湘,35,5.1775
連江縣,東引鄉,2,韓國瑜/張善政,505,74.7041
連江縣,東引鄉,3,蔡英文/賴清德,136,20.1183
桃園市,中壢區,1,宋楚瑜/余湘,11902,4.8382
桃園市,中壢區,2,韓國瑜/張善政,107499,43.6986
桃園市,中壢區,3,蔡英文/賴清德,126600,51.4632
連江縣,南竿鄉,1,宋楚瑜/余湘,114,3.0215
連江縣,南竿鄉,2,韓國瑜/張善政,2875,76.1993
連江縣,南竿鄉,3,蔡英文/賴清德,784,20.7792
連江縣,北竿鄉,1,宋楚瑜/余湘,25,2.2543
連江縣,北竿鄉,2,韓國瑜/張善政,883,79.6213
連江縣,北竿鄉,3,蔡英文/賴清德,201,18.1244
金門縣,金城鎮,1,宋楚瑜/余湘,505,3.3296
金門縣,金城鎮,2,韓國瑜/張善政,11492,75.7698
金門縣,金城鎮,3,蔡英文/賴清德,3170,20.9006
花蓮縣,新城鄉,1,宋楚瑜/余湘,451,3.8930
花蓮縣,新城鄉,2,韓國瑜/張善政,7130,61.5451
花蓮縣,新城鄉,3,蔡英文/賴清德,4004,34.5619
桃園市,八德區,1,宋楚瑜/余湘,5630,4.6870
桃園市,八德區,2,韓國瑜/張善政,50043,41.6612
桃園市,八德區,3,蔡英文/賴清德,64446,53.6518
桃園市,平鎮區,1,宋楚瑜/余湘,6637,4.9160
桃園市,平鎮區,2,韓國瑜/張善政,57200,42.3675
桃園市,平鎮區,3,蔡英文/賴清德,71172,52.7165
金門縣,金沙鎮,1,宋楚瑜/余湘,185,2.5987
金門縣,金沙鎮,2,韓國瑜/張善政,5736,80.5731
金門縣,金沙鎮,3,蔡英文/賴清德,1198,16.8282
花蓮縣,秀林鄉,1,宋楚瑜/余湘,257,3.0778
花蓮縣,秀林鄉,2,韓國瑜/張善政,5938,71.1138
花蓮縣,秀林鄉,3,蔡英文/賴清德,2155,25.8084
桃園市,大溪區,1,宋楚瑜/余湘,2393,4.2489
桃園市,大溪區,2,韓國瑜/張善政,21126,37.5107
桃園市,大溪區,3,蔡英文/賴清德,32801,58.2404
桃園市,楊梅區,1,宋楚瑜/余湘,4906,4.9458
桃園市,楊梅區,2,韓國瑜/張善政,42840,43.1877
桃園市,楊梅區,3,蔡英文/賴清德,51449,51.8665
花蓮縣,壽豐鄉,1,宋楚瑜/余湘,349,3.3169
花蓮縣,壽豐鄉,2,韓國瑜/張善政,6333,60.1882
花蓮縣,壽豐鄉,3,蔡英文/賴清德,3840,36.4950
花蓮縣,玉里鎮,1,宋楚瑜/余湘,410,3.4465
花蓮縣,玉里鎮,2,韓國瑜/張善政,7550,63.4667
花蓮縣,玉里鎮,3,蔡英文/賴清德,3936,33.0868
桃園市,大園區,1,宋楚瑜/余湘,2594,4.7979
桃園市,大園區,2,韓國瑜/張善政,18096,33.4708
桃園市,大園區,3,蔡英文/賴清德,33375,61.7312
花蓮縣,鳳林鎮,1,宋楚瑜/余湘,221,3.3766
花蓮縣,鳳林鎮,2,韓國瑜/張善政,4044,61.7876
花蓮縣,鳳林鎮,3,蔡英文/賴清德,2280,34.8358
花蓮縣,花蓮市,1,宋楚瑜/余湘,2403,4.0338
花蓮縣,花蓮市,2,韓國瑜/張善政,33796,56.7323
新竹縣,竹北市,1,宋楚瑜/余湘,6576,6.2003
